Cust_ID,First_Name,Last_Name,Signup_Email,Signup_City
200,William,Parsons,donaldlee@example.net,Brownmouth
201,Benjamin,Martinez,aroberts@example.net,East Tiffany
202,Sandra,Johnson,clee@example.org,Port Samanthachester
203,Jessica,Herrera,timothy29@example.org,New Adamchester
204,Kyle,Cunningham,butlerrobert@example.com,New Julie
205,Alicia,Ho,howellandrea@example.net,Youngside
206,Carolyn,Henderson,sarah92@example.com,New Patricia
207,Blake,Allen,hollyallen@example.com,Johnside
208,Michael,Ramos,nicoletorres@example.org,East Alexandra
209,Douglas,Rhodes,jennifercarpenter@example.org,North Megan
